code,name,description
ETHIOPIAN_HEIRLOOM,에티오피아 토착종,에티오피아 지역의 다양한 토착 품종군
BOURBON,버번,다양한 지역에서 재배되는 전통 아라비카 품종
TYPICA,티피카,여러 현대 품종의 기반이 된 전통 아라비카 품종
CATURRA,카투라,버번 계열의 왜성 품종
CASTILLO,카스티요,콜롬비아에서 널리 재배되는 품종
COLOMBIA,콜롬비아,콜롬비아의 생산 환경에 맞춰 개발된 품종
MUNDO_NOVO,문도 노보,브라질에서 널리 재배되는 교배 계열 품종
CATUAI,카투아이,문도 노보와 카투라 계열의 교배 품종
YELLOW_BOURBON,옐로 버번,노란색 열매 특성을 가진 버번 계열
SL28,SL28,케냐에서 널리 알려진 고품질 품종
SL34,SL34,케냐 생산지에서 널리 재배되는 품종
RUIRU11,Ruiru 11,케냐의 재배 환경을 고려해 개발된 품종
BATIAN,Batian,케냐에서 개발된 아라비카 품종
SL14,SL14,동아프리카 일부 생산지에서 재배되는 품종
NYASALAND,Nyasaland,동아프리카에 전해진 전통 아라비카 계열
VILLA_SARCHI,비야 사르치,코스타리카에서 발견된 버번 계열 왜성 품종
PACAS,파카스,엘살바도르에서 발견된 버번 계열 왜성 품종
PACAMARA,파카마라,파카스와 마라고지페 계열의 교배 품종
IHCAFE90,IHCAFE 90,온두라스 생산 환경에 맞춰 보급된 품종
LEMPIRA,렘피라,온두라스에서 널리 재배되는 품종
GEISHA,게이샤,파나마 스페셜티 커피로 널리 알려진 품종
CATIMOR,카티모르,카투라와 하이브리드 계열을 바탕으로 한 품종군
ARUSHA,아루샤,파푸아뉴기니와 동아프리카 일부에서 재배되는 품종
S795,S795,인도와 동남아시아 일부에서 재배되는 품종
