sku,profile_key,category_code,weight_grams,name,price,stock_quantity,roast_level,description,image_url,status,display_order
CP-SO001-L-200,SO001_L,SINGLE_ORIGIN,200,ET Yirgacheffe WASHED 라이트 200g,20500,19,LIGHT,Yirgacheffe 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so001_l.webp,ON_SALE,1
CP-SO001-L-500,SO001_L,SINGLE_ORIGIN,500,ET Yirgacheffe WASHED 라이트 500g,46000,20,LIGHT,Yirgacheffe 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so001_l.webp,ON_SALE,2
CP-SO001-M-200,SO001_M,SINGLE_ORIGIN,200,ET Yirgacheffe WASHED 미디엄 200g,19500,21,MEDIUM,Yirgacheffe 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so001_m.webp,ON_SALE,1
CP-SO001-M-500,SO001_M,SINGLE_ORIGIN,500,ET Yirgacheffe WASHED 미디엄 500g,44000,22,MEDIUM,Yirgacheffe 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so001_m.webp,ON_SALE,2
CP-SO002-L-200,SO002_L,SINGLE_ORIGIN,200,ET Guji NATURAL 라이트 200g,21500,23,LIGHT,Guji 산지의 NATURAL 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so002_l.webp,ON_SALE,1
CP-SO002-L-500,SO002_L,SINGLE_ORIGIN,500,ET Guji NATURAL 라이트 500g,48500,24,LIGHT,Guji 산지의 NATURAL 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so002_l.webp,ON_SALE,2
CP-SO002-M-200,SO002_M,SINGLE_ORIGIN,200,ET Guji NATURAL 미디엄 200g,20500,25,MEDIUM,Guji 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so002_m.webp,ON_SALE,1
CP-SO002-M-500,SO002_M,SINGLE_ORIGIN,500,ET Guji NATURAL 미디엄 500g,46000,26,MEDIUM,Guji 산지의 NATURAL 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so002_m.webp,ON_SALE,2
CP-SO003-L-200,SO003_L,SINGLE_ORIGIN,200,ET Sidama HONEY 라이트 200g,20000,27,LIGHT,Sidama 산지의 HONEY 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so003_l.webp,ON_SALE,1
CP-SO003-L-500,SO003_L,SINGLE_ORIGIN,500,ET Sidama HONEY 라이트 500g,45000,28,LIGHT,Sidama 산지의 HONEY 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so003_l.webp,ON_SALE,2
CP-SO003-M-200,SO003_M,SINGLE_ORIGIN,200,ET Sidama HONEY 미디엄 200g,19000,29,MEDIUM,Sidama 산지의 HONEY 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so003_m.webp,ON_SALE,1
CP-SO003-M-500,SO003_M,SINGLE_ORIGIN,500,ET Sidama HONEY 미디엄 500g,43000,30,MEDIUM,Sidama 산지의 HONEY 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so003_m.webp,ON_SALE,2
CP-SO004-L-200,SO004_L,SINGLE_ORIGIN,200,ET Limu WASHED 라이트 200g,19500,31,LIGHT,Limu 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so004_l.webp,ON_SALE,1
CP-SO004-L-500,SO004_L,SINGLE_ORIGIN,500,ET Limu WASHED 라이트 500g,44000,32,LIGHT,Limu 산지의 WASHED 커피를 라이트 로스트로 구성한 합성 싱글 오리진 프로필 500g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so004_l.webp,ON_SALE,2
CP-SO004-M-200,SO004_M,SINGLE_ORIGIN,200,ET Limu WASHED 미디엄 200g,18500,33,MEDIUM,Limu 산지의 WASHED 커피를 미디엄 로스트로 구성한 합성 싱글 오리진 프로필 200g 포장으로 로스팅 단계와 원산지 메타데이터를 확인할 수 있음,/images/catalog/so004_m.webp,ON_SALE,1
