profile_key,display_order,origin_country_code,origin_region,processing_method_code,component_ratio
BL001_M,1,BR,Cerrado,NATURAL,50.00
BL001_M,2,CO,Huila,HONEY,30.00
BL001_M,3,ET,Sidama,WASHED,20.00
BL001_D,1,BR,Cerrado,NATURAL,50.00
BL001_D,2,CO,Huila,HONEY,30.00
BL001_D,3,ET,Sidama,WASHED,20.00
BL002_M,1,BR,Sul de Minas,PULPED_NATURAL,45.00
BL002_M,2,CO,Huila,WASHED,35.00
BL002_M,3,IN,Chikmagalur,NATURAL,20.00
BL002_D,1,BR,Sul de Minas,PULPED_NATURAL,45.00
BL002_D,2,CO,Huila,WASHED,35.00
BL002_D,3,IN,Chikmagalur,NATURAL,20.00
BL003_L,1,ET,Yirgacheffe,WASHED,45.00
BL003_L,2,KE,Nyeri,WASHED,35.00
BL003_L,3,RW,Nyamasheke,WASHED,20.00
BL003_M,1,ET,Yirgacheffe,WASHED,45.00
BL003_M,2,KE,Nyeri,WASHED,35.00
BL003_M,3,RW,Nyamasheke,WASHED,20.00
BL004_M,1,BR,Cerrado,NATURAL,60.00
BL004_M,2,GT,Antigua,WASHED,25.00
BL004_M,3,IN,Chikmagalur,NATURAL,15.00
BL004_D,1,BR,Cerrado,NATURAL,60.00
BL004_D,2,GT,Antigua,WASHED,25.00
BL004_D,3,IN,Chikmagalur,NATURAL,15.00
BL005_L,1,CO,Narino,WASHED,45.00
BL005_L,2,CR,Tarrazu,HONEY,35.00
BL005_L,3,SV,Chalatenango,WASHED,20.00
BL005_M,1,CO,Narino,WASHED,45.00
BL005_M,2,CR,Tarrazu,HONEY,35.00
BL005_M,3,SV,Chalatenango,WASHED,20.00
BL006_L,1,ET,Guji,NATURAL,40.00
BL006_L,2,PA,Volcan,NATURAL,35.00
BL006_L,3,CR,West Valley,NATURAL,25.00
BL006_M,1,ET,Guji,NATURAL,40.00
BL006_M,2,PA,Volcan,NATURAL,35.00
BL006_M,3,CR,West Valley,NATURAL,25.00
BL007_M,1,BR,Mogiana,HONEY,50.00
BL007_M,2,HN,Copan,NATURAL,30.00
BL007_M,3,ID,Java,WASHED,20.00
BL007_D,1,BR,Mogiana,HONEY,50.00
BL007_D,2,HN,Copan,NATURAL,30.00
BL007_D,3,ID,Java,WASHED,20.00
BL008_M,1,GT,Huehuetenango,WASHED,40.00
BL008_M,2,PG,Eastern Highlands,WASHED,35.00
BL008_M,3,BI,Kayanza,WASHED,25.00
BL008_D,1,GT,Huehuetenango,WASHED,40.00
BL008_D,2,PG,Eastern Highlands,WASHED,35.00
BL008_D,3,BI,Kayanza,WASHED,25.00
BL009_M,1,ID,Gayo,WET_HULLED,40.00
BL009_M,2,BR,Cerrado,NATURAL,40.00
BL009_M,3,UG,Bugisu,WASHED,20.00
BL009_D,1,ID,Gayo,WET_HULLED,40.00
BL009_D,2,BR,Cerrado,NATURAL,40.00
BL009_D,3,UG,Bugisu,WASHED,20.00
BL010_M,1,RW,Huye,NATURAL,40.00
BL010_M,2,SV,Apaneca-Ilamatepec,HONEY,35.00
BL010_M,3,CO,Cauca,WASHED,25.00
BL010_D,1,RW,Huye,NATURAL,40.00
BL010_D,2,SV,Apaneca-Ilamatepec,HONEY,35.00
BL010_D,3,CO,Cauca,WASHED,25.00
BL011_M,1,CO,Huila,WASHED,60.00
BL011_M,2,BR,Sul de Minas,PULPED_NATURAL,40.00
BL011_D,1,CO,Huila,WASHED,60.00
BL011_D,2,BR,Sul de Minas,PULPED_NATURAL,40.00
BL012_L,1,ET,Sidama,WASHED,55.00
BL012_L,2,RW,Nyamasheke,WASHED,45.00
BL012_M,1,ET,Sidama,WASHED,55.00
BL012_M,2,RW,Nyamasheke,WASHED,45.00
