code,name,description
FLORAL,플로럴,꽃을 떠올리는 향긋한 인상
JASMINE,자스민,흰 꽃을 떠올리는 맑은 향
CITRUS,시트러스,감귤류를 떠올리는 밝은 인상
LEMON,레몬,레몬을 떠올리는 산뜻한 인상
ORANGE,오렌지,오렌지를 떠올리는 단 산미
BERRY,베리,붉거나 검은 베리류를 떠올리는 향미
BLACK_CURRANT,블랙커런트,검은 과실을 떠올리는 진한 향미
RED_FRUIT,붉은 과일,딸기와 체리를 떠올리는 과일 인상
STONE_FRUIT,핵과류,복숭아와 살구를 떠올리는 향미
TROPICAL_FRUIT,열대과일,망고와 파인애플을 떠올리는 향미
RED_APPLE,붉은 사과,사과를 떠올리는 산미와 단맛
DRIED_FRUIT,건과일,건포도와 말린 자두를 떠올리는 단맛
CHOCOLATE,초콜릿,초콜릿을 떠올리는 부드러운 단맛
DARK_CHOCOLATE,다크 초콜릿,카카오 함량이 높은 초콜릿 같은 쌉쌀한 단맛
MILK_CHOCOLATE,밀크 초콜릿,우유가 섞인 초콜릿 같은 부드러운 단맛
COCOA,코코아,코코아 가루를 떠올리는 고소하고 쌉쌀한 인상
NUTTY,견과류,구운 견과를 떠올리는 고소한 향미
HAZELNUT,헤이즐넛,헤이즐넛을 떠올리는 고소한 단맛
CARAMEL,카라멜,카라멜과 토피를 떠올리는 단맛
BROWN_SUGAR,흑설탕,흑설탕을 떠올리는 깊은 단맛
MOLASSES,당밀,당밀을 떠올리는 묵직한 단맛
HONEY,꿀,꿀을 떠올리는 매끄러운 단맛
VANILLA,바닐라,바닐라를 떠올리는 부드러운 향
TEA_LIKE,티 라이크,차를 떠올리는 맑고 긴 여운
SPICE,스파이스,계피와 정향을 떠올리는 향신료 인상
EARTHY,어시,젖은 흙과 삼나무를 떠올리는 묵직한 인상
