profile_key,variety_code,display_order
SO001_L,ETHIOPIAN_HEIRLOOM,1
SO001_M,ETHIOPIAN_HEIRLOOM,1
SO002_L,ETHIOPIAN_HEIRLOOM,1
SO002_M,ETHIOPIAN_HEIRLOOM,1
SO003_L,ETHIOPIAN_HEIRLOOM,1
SO003_M,ETHIOPIAN_HEIRLOOM,1
SO004_L,ETHIOPIAN_HEIRLOOM,1
SO004_M,ETHIOPIAN_HEIRLOOM,1
SO005_L,SL28,1
SO005_L,SL34,2
SO005_M,SL28,1
SO005_M,SL34,2
SO006_L,SL28,1
SO006_L,RUIRU11,2
SO006_M,SL28,1
SO006_M,RUIRU11,2
SO007_L,SL34,1
SO007_L,BATIAN,2
SO007_M,SL34,1
SO007_M,BATIAN,2
SO008_L,BOURBON,1
SO008_M,BOURBON,1
SO009_L,BOURBON,1
SO009_M,BOURBON,1
SO010_L,BOURBON,1
SO010_M,BOURBON,1
SO011_M,SL14,1
SO011_M,NYASALAND,2
SO011_D,SL14,1
SO011_D,NYASALAND,2
SO012_M,NYASALAND,1
SO012_D,NYASALAND,1
SO013_L,CATURRA,1
SO013_L,CASTILLO,2
SO013_M,CATURRA,1
SO013_M,CASTILLO,2
SO014_L,CATURRA,1
SO014_L,CASTILLO,2
SO014_M,CATURRA,1
SO014_M,CASTILLO,2
SO015_L,CASTILLO,1
SO015_L,COLOMBIA,2
SO015_M,CASTILLO,1
SO015_M,COLOMBIA,2
SO016_L,CASTILLO,1
SO016_L,TYPICA,2
SO016_M,CASTILLO,1
SO016_M,TYPICA,2
SO017_M,MUNDO_NOVO,1
SO017_M,CATUAI,2
SO017_D,MUNDO_NOVO,1
SO017_D,CATUAI,2
SO018_M,YELLOW_BOURBON,1
SO018_M,CATUAI,2
SO018_D,YELLOW_BOURBON,1
SO018_D,CATUAI,2
SO019_M,YELLOW_BOURBON,1
SO019_D,YELLOW_BOURBON,1
SO020_M,CATUAI,1
SO020_M,MUNDO_NOVO,2
SO020_D,CATUAI,1
SO020_D,MUNDO_NOVO,2
SO021_L,CATURRA,1
SO021_L,CATUAI,2
SO021_M,CATURRA,1
SO021_M,CATUAI,2
SO022_L,VILLA_SARCHI,1
SO022_L,CATURRA,2
SO022_M,VILLA_SARCHI,1
SO022_M,CATURRA,2
SO023_L,CATURRA,1
SO023_L,CATUAI,2
SO023_M,CATURRA,1
SO023_M,CATUAI,2
SO024_L,BOURBON,1
SO024_L,CATURRA,2
SO024_M,BOURBON,1
SO024_M,CATURRA,2
SO025_L,BOURBON,1
SO025_L,CATURRA,2
SO025_M,BOURBON,1
SO025_M,CATURRA,2
SO026_L,TYPICA,1
SO026_L,BOURBON,2
SO026_M,TYPICA,1
SO026_M,BOURBON,2
SO027_L,PACAS,1
SO027_L,PACAMARA,2
SO027_M,PACAS,1
SO027_M,PACAMARA,2
