profile_key,brew_method_code,display_order,recommendation_note
SO001_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO001_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO001_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO001_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO002_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO002_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO002_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO002_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO003_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO003_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO003_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO003_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO004_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO004_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO004_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO004_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO005_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO005_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO005_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO005_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO006_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO006_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO006_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO006_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO007_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO007_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO007_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO007_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO008_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO008_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO008_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO008_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO009_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO009_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO009_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO009_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO010_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO010_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO010_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO010_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO011_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO011_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO011_D,ESPRESSO,1,짧은 비율로 추출해 질감과 단맛을 표현함
SO011_D,MOKA_POT,2,중약불로 추출해 과한 쓴맛을 줄임
SO012_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO012_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO012_D,ESPRESSO,1,짧은 비율로 추출해 질감과 단맛을 표현함
SO012_D,MOKA_POT,2,중약불로 추출해 과한 쓴맛을 줄임
SO013_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO013_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO013_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO013_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO014_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO014_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO014_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO014_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO015_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO015_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO015_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO015_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO016_L,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO016_L,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO016_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO016_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO017_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO017_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO017_D,ESPRESSO,1,짧은 비율로 추출해 질감과 단맛을 표현함
SO017_D,MOKA_POT,2,중약불로 추출해 과한 쓴맛을 줄임
SO018_M,POUR_OVER,1,중간 분쇄도와 90~94C 물로 향미를 선명하게 표현함
SO018_M,AEROPRESS,2,짧은 침지로 단맛과 산미의 균형을 맞춤
SO018_D,ESPRESSO,1,짧은 비율로 추출해 질감과 단맛을 표현함
SO018_D,MOKA_POT,2,중약불로 추출해 과한 쓴맛을 줄임
