profile_key,flavor_note_code,display_order,intensity
SO001_L,JASMINE,1,5
SO001_L,CITRUS,2,4
SO001_L,TEA_LIKE,3,4
SO001_M,JASMINE,1,5
SO001_M,CITRUS,2,4
SO001_M,TEA_LIKE,3,4
SO002_L,BERRY,1,5
SO002_L,STONE_FRUIT,2,4
SO002_L,FLORAL,3,4
SO002_M,BERRY,1,5
SO002_M,STONE_FRUIT,2,4
SO002_M,FLORAL,3,4
SO003_L,BROWN_SUGAR,1,4
SO003_L,STONE_FRUIT,2,4
SO003_L,CITRUS,3,3
SO003_M,BROWN_SUGAR,1,4
SO003_M,STONE_FRUIT,2,4
SO003_M,CITRUS,3,3
SO004_L,CITRUS,1,4
SO004_L,FLORAL,2,4
SO004_L,TEA_LIKE,3,4
SO004_M,CITRUS,1,4
SO004_M,FLORAL,2,4
SO004_M,TEA_LIKE,3,4
SO005_L,BLACK_CURRANT,1,5
SO005_L,CITRUS,2,5
SO005_L,BROWN_SUGAR,3,3
SO005_M,BLACK_CURRANT,1,5
SO005_M,CITRUS,2,5
SO005_M,BROWN_SUGAR,3,3
SO006_L,BERRY,1,5
SO006_L,CITRUS,2,4
SO006_L,CARAMEL,3,3
SO006_M,BERRY,1,5
SO006_M,CITRUS,2,4
SO006_M,CARAMEL,3,3
SO007_L,STONE_FRUIT,1,4
SO007_L,BERRY,2,4
SO007_L,TEA_LIKE,3,3
SO007_M,STONE_FRUIT,1,4
SO007_M,BERRY,2,4
SO007_M,TEA_LIKE,3,3
SO008_L,CITRUS,1,4
SO008_L,TEA_LIKE,2,4
SO008_L,CARAMEL,3,3
SO008_M,CITRUS,1,4
SO008_M,TEA_LIKE,2,4
SO008_M,CARAMEL,3,3
SO009_L,BERRY,1,4
SO009_L,STONE_FRUIT,2,4
SO009_L,BROWN_SUGAR,3,4
SO009_M,BERRY,1,4
SO009_M,STONE_FRUIT,2,4
SO009_M,BROWN_SUGAR,3,4
SO010_L,CITRUS,1,4
SO010_L,RED_APPLE,2,4
SO010_L,TEA_LIKE,3,3
SO010_M,CITRUS,1,4
SO010_M,RED_APPLE,2,4
SO010_M,TEA_LIKE,3,3
SO011_M,SPICE,1,4
SO011_M,DARK_CHOCOLATE,2,4
SO011_M,CITRUS,3,3
SO011_D,SPICE,1,4
SO011_D,DARK_CHOCOLATE,2,4
SO011_D,CITRUS,3,3
SO012_M,BERRY,1,4
SO012_M,DRIED_FRUIT,2,4
SO012_M,CHOCOLATE,3,3
SO012_D,BERRY,1,4
SO012_D,DRIED_FRUIT,2,4
SO012_D,CHOCOLATE,3,3
SO013_L,CARAMEL,1,4
SO013_L,BROWN_SUGAR,2,4
SO013_L,CITRUS,3,3
SO013_M,CARAMEL,1,4
SO013_M,BROWN_SUGAR,2,4
SO013_M,CITRUS,3,3
SO014_L,RED_APPLE,1,4
SO014_L,CITRUS,2,4
SO014_L,CARAMEL,3,3
SO014_M,RED_APPLE,1,4
SO014_M,CITRUS,2,4
SO014_M,CARAMEL,3,3
SO015_L,STONE_FRUIT,1,4
SO015_L,BROWN_SUGAR,2,4
SO015_L,NUTTY,3,3
SO015_M,STONE_FRUIT,1,4
SO015_M,BROWN_SUGAR,2,4
SO015_M,NUTTY,3,3
SO016_L,CHOCOLATE,1,4
SO016_L,RED_APPLE,2,3
SO016_L,CARAMEL,3,4
SO016_M,CHOCOLATE,1,4
SO016_M,RED_APPLE,2,3
SO016_M,CARAMEL,3,4
SO017_M,CHOCOLATE,1,5
SO017_M,NUTTY,2,5
SO017_M,CARAMEL,3,4
SO017_D,CHOCOLATE,1,5
SO017_D,NUTTY,2,5
SO017_D,CARAMEL,3,4
SO018_M,MILK_CHOCOLATE,1,5
SO018_M,NUTTY,2,4
SO018_M,BROWN_SUGAR,3,4
SO018_D,MILK_CHOCOLATE,1,5
SO018_D,NUTTY,2,4
SO018_D,BROWN_SUGAR,3,4
SO019_M,RED_FRUIT,1,4
SO019_M,HONEY,2,4
SO019_M,NUTTY,3,3
SO019_D,RED_FRUIT,1,4
SO019_D,HONEY,2,4
SO019_D,NUTTY,3,3
SO020_M,CARAMEL,1,5
SO020_M,HAZELNUT,2,4
SO020_M,CHOCOLATE,3,4
SO020_D,CARAMEL,1,5
SO020_D,HAZELNUT,2,4
SO020_D,CHOCOLATE,3,4
SO021_L,CITRUS,1,4
SO021_L,CARAMEL,2,4
SO021_L,RED_APPLE,3,4
SO021_M,CITRUS,1,4
SO021_M,CARAMEL,2,4
SO021_M,RED_APPLE,3,4
SO022_L,STONE_FRUIT,1,4
SO022_L,TROPICAL_FRUIT,2,4
SO022_L,HONEY,3,4
SO022_M,STONE_FRUIT,1,4
SO022_M,TROPICAL_FRUIT,2,4
SO022_M,HONEY,3,4
SO023_L,CITRUS,1,4
SO023_L,COCOA,2,3
SO023_L,SPICE,3,3
SO023_M,CITRUS,1,4
SO023_M,COCOA,2,3
SO023_M,SPICE,3,3
SO024_L,RED_APPLE,1,4
SO024_L,CHOCOLATE,2,4
SO024_L,CITRUS,3,3
SO024_M,RED_APPLE,1,4
SO024_M,CHOCOLATE,2,4
SO024_M,CITRUS,3,3
SO025_L,DARK_CHOCOLATE,1,4
SO025_L,SPICE,2,4
SO025_L,CARAMEL,3,4
SO025_M,DARK_CHOCOLATE,1,4
SO025_M,SPICE,2,4
SO025_M,CARAMEL,3,4
SO026_L,STONE_FRUIT,1,4
SO026_L,COCOA,2,4
SO026_L,BROWN_SUGAR,3,4
SO026_M,STONE_FRUIT,1,4
SO026_M,COCOA,2,4
SO026_M,BROWN_SUGAR,3,4
SO027_L,RED_FRUIT,1,4
SO027_L,CARAMEL,2,4
SO027_L,COCOA,3,3
SO027_M,RED_FRUIT,1,4
SO027_M,CARAMEL,2,4
SO027_M,COCOA,3,3
SO028_L,FLORAL,1,4
SO028_L,STONE_FRUIT,2,5
SO028_L,CITRUS,3,4
SO028_M,FLORAL,1,4
SO028_M,STONE_FRUIT,2,5
SO028_M,CITRUS,3,4
SO029_L,CARAMEL,1,4
SO029_L,RED_APPLE,2,4
SO029_L,NUTTY,3,3
SO029_M,CARAMEL,1,4
SO029_M,RED_APPLE,2,4
SO029_M,NUTTY,3,3
SO030_L,CHOCOLATE,1,4
SO030_L,DRIED_FRUIT,2,4
SO030_L,SPICE,3,3
SO030_M,CHOCOLATE,1,4
SO030_M,DRIED_FRUIT,2,4
SO030_M,SPICE,3,3
SO031_L,JASMINE,1,5
SO031_L,CITRUS,2,5
SO031_L,TEA_LIKE,3,5
SO031_M,JASMINE,1,5
SO031_M,CITRUS,2,5
SO031_M,TEA_LIKE,3,5
SO032_L,TROPICAL_FRUIT,1,5
SO032_L,BERRY,2,4
SO032_L,FLORAL,3,5
SO032_M,TROPICAL_FRUIT,1,5
SO032_M,BERRY,2,4
SO032_M,FLORAL,3,5
SO033_M,EARTHY,1,4
SO033_M,SPICE,2,4
SO033_M,DARK_CHOCOLATE,3,4
SO033_D,EARTHY,1,4
SO033_D,SPICE,2,4
SO033_D,DARK_CHOCOLATE,3,4
SO034_M,BROWN_SUGAR,1,4
SO034_M,SPICE,2,3
SO034_M,COCOA,3,4
SO034_D,BROWN_SUGAR,1,4
SO034_D,SPICE,2,3
SO034_D,COCOA,3,4
SO035_L,TROPICAL_FRUIT,1,4
SO035_L,RED_APPLE,2,3
SO035_L,CHOCOLATE,3,3
SO035_M,TROPICAL_FRUIT,1,4
SO035_M,RED_APPLE,2,3
SO035_M,CHOCOLATE,3,3
SO036_M,SPICE,1,5
SO036_M,DARK_CHOCOLATE,2,4
SO036_M,NUTTY,3,4
SO036_D,SPICE,1,5
SO036_D,DARK_CHOCOLATE,2,4
SO036_D,NUTTY,3,4
BL001_M,CARAMEL,1,5
BL001_M,CHOCOLATE,2,4
BL001_M,CITRUS,3,3
BL001_D,CARAMEL,1,5
BL001_D,CHOCOLATE,2,4
BL001_D,CITRUS,3,3
BL002_M,DARK_CHOCOLATE,1,5
BL002_M,NUTTY,2,4
